21/04/2016,-937.28,ANZ M-BANKING PAYMENT TRANSFER 226610 TO WEI HUI
21/04/2016,-105.86,EFTPOS FOODWORKS KENSINGTON KENSINGTON VIC
21/04/2016,-20.48,EFTPOS RED ROOSTER              FLEMINGTON   VI
21/04/2016,-13,EFTPOS MAKEDON STOJKOV       KENSINGTON   VICAU
19/04/2016,-14.48,EFTPOS WOOLWORTHS      3169     NEWMARKET PLZAU
19/04/2016,-3.9,EFTPOS DRUIDS CAFE          MELBOURNE VIC
19/04/2016,450,ANZ ATM 230 SWANSTON ST BRANCH #2MELBOURNE    VI
18/04/2016,-20.9,VISA DEBIT PURCHASE CARD 3067 MENULOG PTY LTD SYDNEY
12/04/2016,-22.04,EFTPOS WOOLWORTHS      3169     NEWMARKET PLZAU
11/04/2016,-11.95,EFTPOS KFC FLEMINGTON      0005 FLEMINGTON
11/04/2016,-10.2,EFTPOS HJ FLEMINGTON       5340 FLEMINGTON
11/04/2016,1500,ANZ INTERNET BANKING FUNDS TFER LIVING FEE          LUNG SING TENG
06/04/2016,-102.5,NON-ANZ ATM LITTLE SAIGON MARKET        FOOTSCRAY INCLUDES ATM OPERATOR CHARGE $2.50
06/04/2016,-30.79,EFTPOS COLES 7770               FOOTSCRAY    AU
05/04/2016,-5.4,EFTPOS FOODWORKS KENSINGTON KENSINGTON VIC
05/04/2016,-13,VISA DEBIT PURCHASE CARD 3067 AMAZON WEB SERVICES AWS.AMAZON.CO 9.59 USD INC O/S FEE $0.37
04/04/2016,-60,EFTPOS KMART 1233               FOOTSCRAY    AU
04/04/2016,-39.99,EFTPOS CONNOR CLOTHING PTY  STRATHMORE VIC
04/04/2016,-44.08,VISA DEBIT PURCHASE CARD 3067 GOOGLE *PLAY G.CO/PAYHELP#
04/04/2016,-164.33,VISA DEBIT PURCHASE CARD 3067 PAYPAL *OREILLYMEDI 4029357733
01/04/2016,-81,PAYMENT TO VODAFONE         T1 1F58CB 2E
01/04/2016,-24.6,EFTPOS AJISEN RAMEN HIGHPOI MARIBYRNONG VIC
01/04/2016,-8.73,EFTPOS WOOLWORTHS      3079     HIGHPOINT    AU
01/04/2016,-19381.8,VISA DEBIT PURCHASE CARD 3067 RMIT UNIVERSITY MELBOURNE
01/04/2016,-16.9,VISA DEBIT PURCHASE CARD 3067 EAT NOW SERVICES PL MULGRAVE
31/03/2016,-10.28,EFTPOS RAINBOW MEATS       0001 MARIBYRNONG
31/03/2016,-5.82,VISA DEBIT PURCHASE CARD 3067 PAYPAL *ZHANG SUYAN 4029357733
31/03/2016,-20.01,VISA DEBIT PURCHASE CARD 3067 DOMINOS FLEMINGTON FLEMINGTON
30/03/2016,0.08,TRANSFER FROM PAYPAL AUSTRALIA 5CRDDTKKLEDWG
30/03/2016,0.08,TRANSFER FROM PAYPAL AUSTRALIA 5CR7PWT355DWG
29/03/2016,-13.95,EFTPOS KFC DANDENONG        DANDENONG VIC
29/03/2016,-106,EFTPOS FOODWORKS KENSINGTON KENSINGTON VIC
29/03/2016,-30.99,EFTPOS WOOLWORTHS      3169     NEWMARKET PLZAU
29/03/2016,-16.5,EFTPOS HATCHD CHICKEN PTY L KENSINGTON VIC
29/03/2016,-42.5,VISA DEBIT PURCHASE CARD 3067 ALI*WWW.TAOBAO.COM HANGZHOU 200.85 CNY INC O/S FEE $1.23
24/03/2016,-61.6,EFTPOS COLES 7994               ASCOT VALE   AU
24/03/2016,-13,EFTPOS KMART 1233               FOOTSCRAY    AU
23/03/2016,2260,ANZ INTERNET BANKING FUNDS TFER LIVING TRANSPORT    LUNG SING TENG
22/03/2016,-52,NON-ANZ ATM CBA ATM  R.M.I.T. B     V  VIC 326202 INCLUDES ATM OPERATOR CHARGE $2.00
22/03/2016,-8.65,EFTPOS FOODWORKS KENSINGTON KENSINGTON VIC
